user_id,signup_date,email
A1019,2026-01-05,paula@acme.example
A1020,2026-01-12,quinn@acme.example
A1021,2026-01-19,rachel@acme.example
A1022,2026-01-26,steve@acme.example
A1023,2026-02-01,tina@acme.example
A1024,2026-02-03,ursula@acme.example
A1025,2026-02-05,vic@acme.example
A1026,2026-02-07,wendy@acme.example
A1027,2026-02-09,xander@acme.example
A1028,2026-02-11,yara@acme.example
A1029,2026-02-13,zack@acme.example
A1030,2026-02-15,amy@acme.example
A1031,2026-02-17,brad@acme.example
A1032,2026-02-19,cindy@acme.example
A1033,2026-02-21,dan@acme.example
A1034,2026-02-23,ella@acme.example
A1035,2026-02-25,finn@acme.example
A1036,2026-02-27,gina@acme.example
A1037,2026-03-01,hank@acme.example
A1038,2026-03-02,iris@acme.example
